utterance,intent
너무 속상해서 정말 한참을 울었어.,슬픔
어이 작심삼일 공부는 어떤가?,일상
곱지 않은 시선이 날 너무 힘들게 해.,자존감저하
물건을 사러 나가면 점원이 나를 비웃는 것 같아서 온라인 쇼핑만 해요.,자존감저하
오빠가 삐뚤어질까 봐 걱정이예요.,초조함
열심히 할 자신 있어,일상
물건은 수목 이틀만 시키는데 뭐,일상
겁나서 깊게 긋지는 않았지,자살충동
날씨 때문에 더 식욕이,일상
생각해보니깐 그러면 재밌겠네.,일상
강아지 충치 생기면 전신마취하고 치료하는 거 알지?,일상
과체중이 된 이유를 모르겠어,식욕증가
이런 좀 신경쓰이겠다,일상
또 집을 찾아오지도 못할까봐 불안해요.,초조함
임플란트 잘 하는 치과 알고 있어?,일상
남편이 엄마 장아찌.김치 잘 먹어요 하하,일상
응 병문안가서 자세히 알아봐야겠어,일상
나도 가족들에게 관심 없고.,무기력
닥터피시도 반려동물이라고 할 수 있어?,일상
이렇게까지 해야 하나 싶어서 막 자괴감 들고,죄책감
너무 기죽는다,자신감저하
이번 주에는 밖으로 나가지도 않았어요.,무기력
근데 최근 들어서 먹는 걸로 스트레스를 풀고 있어요.,식욕증가
그렇게 자주 넘어지다 보니까 너무 불안해졌어요.,초조함
요새는 그냥 툭하면 눈물 쏟고 난리 난 것 같아,슬픔
진짜 쌍둥이 중 성형한 애가 젤 문제더만...,일상
내가 이상한 건 아니지? 연애 많이 해보면 좋은 거 아니야?,초조함
나는 햄버거 맛있는지 모르겠어,일상
근데 긴장하면 정말 아무 말도 못 해요.,초조함
걔도 전역했잖아 어쩔 수 없네,일상
고독한 걸 느끼지만 최대한 숨기려고 해요,외로움
그거 10콤보 넘어가면 콤보 깨질까 봐 끅끅거리면서 키키,일상
맞아 쉬고 싶어서 담배를 피운다는 친구들도 많더라,일상
아이를 가지니까 참담해진 것 같아,슬픔
공항근무때도 멀쩡랫는걸,일상
살기 싫어서 미치겠네,자살충동
남편이 한번 더 건드리면 정말 폭발해버릴 것 같아,분노
오빠는 여자친구랑 얼마나 만났어?,일상
싫어하는 회사 동료들 때문에 인간관계가 너무 스트레스인 것 같아,외로움
아마 그 때가 제일 우울했던 것 같아요.,우울감
요즘 내가 왜 살고 있는 건 지도 모르겠어.,절망감
배부른데도 밤까지 새면서 계속 먹어,식욕증가
형은 여행 팁 있나?,일상
주변에 직업군인이다가 제대하신분 계신가요?,일상
가족사진 한번 못 찍은 게 너무 마음이 아팠어.,슬픔
내 탓인것 같아서 죽고 싶어.,자살충동
추천 고마워! 키키,일상
조여정 남편이 죽고 아들이랑 제주도 국제 학교 가는데 거기서 남편이 왜 죽었는지 찾는 내용이야!,일상
얼굴이 너무 탔어.,일상
결과가 안 좋을 때마다 뱃속 아이에게 미안해져서 속상해,슬픔
나도 그거 보고 조회수 올려 줄라고 맨날 챙겨 봤자나,일상
그러게 전에 같이 갔던 온천 좋았는데,일상
모든 게 다 내 잘못 같고 공격 받는 기분이야,죄책감
신랑때문에 잠 자는 시간이 적어졌어요,불면
모르겠어요 샴푸 또 바꿨는데 똑같네요,일상
진짜로 모든 일에 흥미가 안 생기는 것 같아요,무기력
병원 바꾸고 싶은데 잘 안 돼서 힘이 빠져,피로
내 몸이 내 몸이 아닌 느낌이야. 너무 힘들어.,무기력
어제도 학교에서 사고쳐서 담임한테 전화왔나봐,일상
그냥 내가 없어졌으면 좋겠다는 생각...,자살충동
아프니까 움직이기도 싫고 죽을 거 같아.,무기력
나는 다 좋은데. 너는 뭐 타고 싶은 거 있어?,일상
너무 속상해서 머리가 아파져요.,슬픔
자꾸 눈물이나..,슬픔
둘 다 진짜 방송에 안 나오는 듯,일상
응 요즘 마냥 무겁게는 안 나오더라,일상
우리 이거 해서... 언제 부자 되냐,일상
그냥 무섭고 힘들어,불안
당뇨가 있으셔서 식관리 하셔,일상
일하기도 싫어지고.,무기력
왜 내 자리 하나 없는지 그게 그렇게 화가 나더라.,분노
불안해서 다른 사람이랑 눈을 못 마주치겠어,불안
이유는 모르겠지만 전혀 가뿐하지 않아,불면
사람들 앞에 서서 말하려고 하면 정말 긴장 돼서 죽을 것 같아.,초조함
안경 새로 하면 최소 1.0 이상은 나와야지,일상
11시?,일상
아무리 애써도 달라지는게 없으니까 그냥 포기하게 돼,절망감
지금은 조금 괜찮아졌는데 언제 또 죽고 싶을지 몰라.,자살충동
서운하고 서글프고 섭섭해,슬픔
버스랑 만 원 정도 차이 나나?,일상
앞에 타보고도 싶었는데 뒷자리도 충분히 좋더라고.,일상
언제 어디서 발작이 일어날지 몰라서 항상 긴장하게 되네요.,초조함
난 스키장 가본 적도 없어...,일상
이젠 곧 이발해야 될 때가 찾아오는거 같아,일상
일을 하다가도 내가 뭘 잘못하진 않았을까 불안하고 걱정되고,초조함
그냥 개발 생산에 사용한다고 했대,일상
남편이 옆에 없으면 더 안절부절 가만히 못 있겠어,초조함
오징어게임에서 나오는 모든 게임들 다 하면 되겠네요.,일상
아 모공 팩 말하는 거지?,일상
그러니까요.이러다 잔금대출 안나와 입주 못하는분들 생기면 큰일이죠,일상
뭘 해도 안 될 것 같고 하려고 했던 마음이 사라지는 것 같아,우울감
안 뽑으려고 해도 안 뽑으면 오히려 더 불안해져서,불안
아무도 나를 안 알아주는 거 같아.,외로움
키키 아직 많이 남았으니깐 올 겨울에 내일로 어떰?,일상
죄책감 때문에 사과하는 일이 너무 많아졌어,죄책감
임신한 뒤로 불안이 멈추질 않아,불안
그냥 하루 종일 아 어제 왜 마셨지? 이 생각만 들어서 막 후회 돼.,죄책감
막연한 불안감은 있는 것 같아,불안
집에 돌아오면 힘이 쑥 빠져,피로
잘해도 게임 매너는 빵점이네!,일상
나 요즘 동해 노래만 듣고 있어 하하,일상
저도 봐야겠네요...,일상
살면서 힘들었지.,무기력
나 때문에 잘못 됐다고 하지 않으면 너무 마음이 불편해,죄책감
그렇게 봄이 지나가면 한순간에 우울해져요.,우울감
대학 등록금 때문에 힘들어하는 엄마를 보면 너무 미안해서 죽겠어요.,죄책감
못들은거 같아. 요즘 날씨 미침,일상
우리를 운동 시켜주니 고마운 강아지들이네요,일상
오빠는 육군 나왔다고 했지?,일상
어쩌다 이렇게 됐는지 이유를 모르겠어. 그냥 어느 순간부터 모든 게 다 화가 나.,분노
"진짜 답답한 건, 나는 정말 우울하고 슬픈데도 눈물이 잘 안 나.",우울감
큰일이네 오늘은 아빠 일이 많아서 집에 늦게 들어갈 것 같은데...,일상
헐 진짜? 풀무원 진짜 콩나물이랑 두부 유명한 곳이잖아,일상
아니 먹진 않고 풀어줬어,일상
속이 심하게 더부룩해요,식욕저하
혼자 있으면 눈물이 더 나요,슬픔
나도 모기 싫음,일상
우울하니까 사는 맛이 안 나,우울감
그렇게 많이 자도 평일에 안 졸려운 건 아니야.,피로
임신하고서 집에만 늘 있으니까 더 피곤하고 몸이 무거워,피로
너무 피곤해서 아무 의욕도 안 생겨요.,피로
우리집 강아지는 가려서 먹어.,일상
아니야. 요즘은 부분유료화 게임이 많아져서 돈을 지속적으로 쓰도록 유도해.,일상
회사 동료들이 자꾸 나를 흘겨봐서 힘들어,자존감저하
대학 오면 괜찮아질 줄 알았는데 계속 만성적으로 우울한 것 같아.,우울감
그래서 언니한테 괜히 짜증내고 심술 부렸어.,초조함
남편도 보기 싫고 집안일은 너무 귀찮아,우울감
잘하는데? 난 볼링 잘 못쳐,일상
아니? 이번에 새로 나오지 않냐?,일상
"또 하려고 하는데, 못 하겠는거예요.",자살충동
나도 혼자 일하는 거는 너무 좋은데,일상
불안할 때면 눈물이 나지만 요샌 불안한지도 몰라.,불안
성관계를 너무 자주 했더니 식욕이 줄더라.,식욕저하
남편때문에 밥을 조금 먹게 돼,식욕저하
그래도 우리나라 작품이 인기있다니깐 기분좋다!,일상
나 혼자 잘 때 제일 뒤척거리는 것 같아,불면
남자친구가 엄청 감동받겠다,일상
난 지금까지 가루만 먹었어,일상
몸무게도 56kg 가량 빠졌어.,식욕저하
임신하니까 회사 사람들 태도가 쌀쌀맞게 변했어요,자존감저하
나 같은 사람이랑 일을 하다니 동료들이 불쌍해,죄책감
피곤하고 멍해서 병원 가는 날도 잊을 때가 있어,피로
하고싶은건많구돈은없구,일상
나 이번에 부산 갈 예정,일상
제주도에 오름이라고 들어봤어?,일상
잘 생각했어! 운전 할 때는 안전을 1순위로 생각해!,일상
무슨 큰 병이라도 걸린게 아닐까 너무 걱정 되네요.,초조함
아무 일도 할 수 없을 정도로 몸이 축 처져,피로
이렇게 끝나는 건가 싶어서 눈물이 안 멈춰,슬픔
근처에 사람이 없었는데 조금 울고 말았어..,슬픔
피시방에서 쫓겨날 때 아주 서러웠지.,일상
혼자 있을 때는 거의 매 번 우는 것 같아. 이유는 없어.,슬픔
우울함 때문인지 입맛이 없네,우울감
그러게요 저도 가고 싶어요,일상
결국은 자금이 문제지 하하 투기 지역이라,일상
마음으론 이해해도 엄마 취급을 못 받으니까 서러워서 술을 마셔..,슬픔
무거워서 힘듦,일상
자존심 상해서 동창회도 못 나가고 있어.,자존감저하
그거는 아무 데나 안 파니까...,일상
엉 키키 특히 바다 보는 건 좋은데 못 들어간다,일상
난 항상 초보모드만 깨고 중급모드부터는 하지도 못해,일상
이젠 아빠 목소리도 듣기 싫어..정말 죽이고 싶어.,분노
언제부터였지? 소화가 잘 안 되는 거 같아요.,식욕저하
노력한다고 다 되는 게 아니더라고요.,감정조절이상
변덕이랑 감정기복이 너무 심해,슬픔
그럼 지금 세단으로 보고 있었을 걸? 키키,일상
왜? 판타지를 싫어하는 거야 아니면 유치한 거야 키키,일상
큰일은 아닌 거지?,초조함
아 진짜 맞아,일상
끼니를 자꾸 거르다 보니 컨디션도 안 좋아.,식욕저하
나 옥자도 재밌게 봤는데 이것도 감독 꺼네,일상
"맞아, 많이 답답해",초조함
키키 7년 살았어요 키키,일상
그러니까 한 달 만에 8kg가 쪘어요.,식욕증가
겨울에는 특히 자도 자도 피곤해,불면
셋째를 낳아야 할까봐요,일상
나한테 실망한 친구 말 생각하면 저 스스로가 너무 찌질해지는 것 같고.,우울감
현실인지 알고 싶어서 눈뜨자마자 손목을 그어버렸어.,자살충동
죽고 싶다,자살충동
사소한 일에도 긴장을 많이 해서 스트레스야,불안
저는 즐겨보는 편이에요,일상
애한테 다운증후군 있을 수도 있단 얘길 들은 후로 행동이 굼떠졌어,초조함
응 키키 삼성 외야수야.,일상
요즘 도통 잠을 못 자요.,불면
응 벌써 배고파,일상
나중에 한번 볼게,일상
휴 증말 열심히 일해서 이놈의 버스 탈출해야지,일상
헐 우린 없었어.,일상
언니.많이 빠졌어요? 자연스럽다.아녀요?,일상
유산될까 봐 마음안정이 안 돼,불안
요즘 부쩍 죽고 싶단 생각이 많이 들어요.,자살충동
요즘 코스피 3000넘었대,일상
나 지금 서울인데 같이 만나실?,일상
아 그거 뭔지 안다 키키 우리집에도 있다,일상
그래서 난 남동생한테 화장품 사오라고 부탁했어.,일상
대학 졸업 하고 나니까 더 우울한 때가 많았던 것 같아.,우울감
방학만 되면 정말 엄마 잔소리 때문에 죽고 싶었어요.,자살충동
하루종일 우울함에 빠져있어요.,우울감
요즘 진짜 머리가 너무 복잡하고 힘들다,무기력
몸무게가 왜 이렇게 늘었는지 모르겠다,식욕증가
키키 씨버러버 썰 아는 거임?,일상
짜증 나는 게 참아지지가 않아,초조함
다들 인정해?,일상
예전에 연애할 때는 거의 매일 여자친구한테 화내고 싸웠었어.,감정조절이상
그냥 난 아무 것도 못 할 것 같고 의욕도 없는 것 같고,무기력
그런거 직장내 괴롭힘으로 신고 안 돼?,일상
내년되면 만원 찍을까요?,일상
왜 불안한 거야?,불안
소화불량이 진짜 심해요,식욕저하
이번 달은 다 지나갔으니 다음 달에 목표를 세워볼까 합니다.,일상
애 준비해서 유치원도 보내야 하는데 다 귀찮고,무기력
에이 치아는 성형 아니지,일상
벼랑 끝에 서 있는 느낌이 들어서 집안일도 못 해,불안
먹은것도 없는데 왜 일케 배부리노,일상
키키 데이트 할 겸 가 봐,일상
2년전부터 많이 우울했어요.,우울감
그러면서 입맛도 잃어서 밥도 하루에 한 끼 먹거나 안 먹었어.,식욕저하
항상 평범함을 추구하는 게 좋은 걸까?,일상
흰죽만 먹고 갔는데도 임당검사 또 해야 한데서 레알 한숨 나와,우울감
나 꽤나 자주 가는디,일상
몸이 너무 처져서 요가 끊었어,피로
전에 보다는 좀 덜 해 진 거 같아요,일상
그러니까 나도 싫은데 그머리가 이쁜가봐 다 똑같아 너무 신기해,일상
그렇구나넌 꼭 있었으면 하는 시설이 있어?,일상
피곤해서 팔다리가 무거워,피로
어머님 내한테 다 주시더라 키키,일상
그럴것같아요 퇴근할땐 빨리가야 좋은데 논길 키키,일상
염통꼬지,일상
7호선 아니에요?,일상
아니 진짜 핸드폰 너무 귀엽고 충전독? 그것도 장난 아님,일상
요즘 날이 더워서인지 스트레스 때문인지 입맛도 없고 뭘 해먹어야 할지도 모르겠어요.,식욕저하
남편이랑 같이 있으면 더 비참해,슬픔
기온도 떨어지고 비도 맞았으니 단풍이 들겠지,일상
에? 진짜? 왜?,일상
다른 수업도 찾아 봐야겠다,일상
남들은 쉬운 일이 나는 왜이렇게 힘들까?,죄책감
스트레스때문에 조각잠만 자거든,불면
운동도 영혼 없이 하고 집에선 혼자 시간을 보내는데 뭘 해야 할지 모르겠어,무기력
마트 알바하려고 공부한 게 아닌데,죄책감
그래도 일단 백신을 맞으면 중증으로 되지 않아서 다행이야.,일상
살도 많이 빠지더라고.,식욕저하
그래도 계속 하다 보면 익숙해지겠지 용어에 대해서,일상
빨리 잡혀서 벌 받았으면 좋겠다!,일상
임신기간이 너무 힘드니까 애를 원망하게 돼,분노
심리상담을 받으면 자존감이 높아질까,우울감
나 그때 차 멈추고 암것도 못했어,일상
"나는 이게 편한 건가, 혼자이고 싶은 건가, 생각하게 됐어.",외로움
너무 심하게 행동이 느려진 거 같아,초조함
알았다 알았어 머핀도 먹어,일상
잠도 못 자는데 남편이 안 챙겨주니까 진심 우울해요,우울감
음 난 자주 화장실 밖으로 안 가서 버스는 그냥 더 아늑해서 좋더라고,일상
우울하지는 않거든?,우울감
점점 늙어가고 못생겨지고.,자존감저하
잠 설치는 게 너무 심해요,불면
그래서 병원비 좀 저렴한데 사람들이 많이 찾아다니더라 키키,일상
그니까 한국에서도 있었잖아...,일상
죄책감과 원망이 뒤섞여서하루하루 사는게 사는게 아닙니다.,죄책감
원래는 안 그랬는데 저번 달 부터 작은 일에도 증오라는 감정이 싹트는 것 같아,분노
우리 가장 최근에 본게 크루엘라랑 분노의질주네,일상
우울하고 힘들어요.,우울감
저는 아직 2주 정도 남았어요 키키,일상
방문학습지 어디가 좋아?,일상
그러다가 새벽에 미친듯이 먹고있는 나를 발견해요.,식욕증가
그거받으려면 일반게임 맵하면 안되고 베라던킨맵으로 해야되,일상
아 퀵보드가 많이 무겁나보네,일상
밥만 보면 거부감생기고 우울하고 그래,우울감
잠만 엄청 자요.,피로
뭔 갑자기 속담이야,일상
앞뒤 사정도 파악하지도 않고 결과만으로 다그치는게 너무 화나더라.,분노
그래서 요즘 계속 우울해요.,우울감
정말 마음이 안 좋아요.,우울감
12번 정도?,일상
일이 바빠서 계속 더부룩해져,식욕저하
잉? 모야 키키,일상
그래서 주택이 좋은가 봐,일상
혹시 더 큰 문제가 있는 건 아닐까?,초조함
사랑할 수 있지 난 예전에 빅뱅 사랑했었다...,일상
운동을 하다가도 절망적인 생각이 들어서 울게 돼,슬픔
사귈 때 모르던 부분의 성격이 나오는 거라고하더라고요,일상
실력 검증 해야겠다 이번 주에 가자.,일상
며칠을 굶어도 먹고 싶은 마음이 안 들더라고요.,식욕저하
상처를 많이 받았는지 그 후 잠도 잘 못 자고 식욕도 없어졌어요.,불면
하루에 몇 번씩 신경질이 나는지 모르겠어,초조함
약먹고 두달만에 7kg나 빠졌어요.,식욕저하
그냥 딱 끊었지 뭐,일상
그러려고 공부한 게 아닌데 집에도 너무 미안하고,죄책감
밥스누 그건 뭐야 처음 들어,일상
그래도 초전동 교통 좋아,일상
에이 거짓말 하지 마,일상
난 요즘 눈에 들어오는 차가 있어 기능 이런 거 잘 모르지만 아우디SUV도 너무 이쁘더라고... 이런 거 보면 운전 해야 되나봐... 키키,일상
발표된지 얼마 지나지도 않았는데 엄청난 속도네,일상
언제쯤 제 인생에 해가 뜰까요?,초조함
아니 아파트에 살고 있어,일상
학원에 다니지 않아도 아이의 능력을 발견할 수 있지 않을까?,일상
뭐라도 사가야 할꺼 긋네요 키키,일상
어제는 전화 받아서 가만히 듣고 있는데 너무 죽여 버리고 싶은 거예요.,분노
마음이 무너지는 것 같아,우울감
눈도 못 마주치겠어. 뭔지 모르게 떨리고 불편해.,초조함
그냥 영화 다 보고 나서 흥행했다고 기사 나고 그러면 영화 감독 이름 한번 보는 정도인 듯 키키,일상
자기네들 이익을 위한 이유겠지,일상
왜 나만 입덧에 호르몬 때문에 고생하는지 너무 서러워,슬픔
네이버 동물농장이요?,일상
미래만 생각하면 불안하고 초조해.,초조함
아그냥 다 짜증나고 싫어.,초조함
옛날에 평창 올림픽때 경기들 직관 안가본거 후회돼,일상
남편에게 딜 뜨면 사달라고 예약해뒀어요... 하하,일상
유명한커피집이있어,일상
또 거긴 빈집 더 많겠네,일상
나도 했었어 이니스프리 아리따움거로,일상
나 식욕이 너무 줄었다니까요,식욕저하
가을 되니까 아무리 자도 피로가 더 쌓이는 것 같아,불면
부모님에게도 정말 죄송해서 죽고 싶었어요.,자살충동
너도 혹시 영업이나 사업할지 알아?,일상
오토바이는 위험하지 않겠어요?,일상
네이버로 검색해서 그냥 젤 싼 거 쓰지 11번가나 G마켓 이런 거 키키,일상
임신태교 책도 처음에는 열심히 읽다가 재미가 없어서 지금은 도통 안 읽어,무기력
우울해서 이대로 내가 없어질 것 같아,우울감
맘이 텅 빈 거 같고 외로워요,상실감
생각해보면 그때 그 배우들이 자리를 차지하고 있어서 그런건가,일상
출근만 하면 입맛도 뚝 떨어지고 무기력해져,식욕저하
산책을 해도 기분이 별로 나아지지 않아,초조함
사람 대하는게 많이 힘들더라구요.,무기력
난 잘 먹고 살지,일상
요즘 움직이는 게 버거워서 몸도 찌뿌둥한 거 같아,피로
다음 주면 이제 학교도 가야 하는데 그냥 내 인생이 다 꼬인 것 같고,절망감
요즘 윗집에서 쿵쿵거려서 진짜 미칠것같아,일상
술을 마시거나 하지도 않았는데 계속 울렁거리는 거야.,식욕저하
인성도 좋고,일상
누구 누구?,일상
요새 내가 너무 불쌍한 것 같아,슬픔
백일 넘게 만난 거면 연애했다고 인정해 난 키키,일상
정신이 몽롱해서 멍 때리는 것밖에 못 해,불면
나는 평점보다는 관람수를 가장 많이 보는 것 같아,일상
미용실도 너무 비싸서,일상
걷거나 차 타고 가,일상
아니 키키 나는 무조건 샴푸만 하지,일상
그럼 방에 또 치울 거 뭐 남아있어?,일상
매일 병원에서 잠을 못 잤어..,불면
너무 적적하니까 공상 속에 빠지는 것 같아,외로움
아니 원래 매일 주랬는데 비는 흠뻑젖으니까 일줄 버틸거같아,일상
계속.. 죽음에 대한 생각을 하게 됐어요.,자살충동
내가 이 일 하려고 그렇게 취업 준비를 했나 싶어서 후회 되고,슬픔
그래서 쉬어도 쉰 것 같지가 않고 몸이 너무 찌뿌둥해.,피로
키키 아 맞나 키키 나도 한번 해봤는데 키키 어렵더라 키키,일상
야 너무추워 나 후리스 주문했잖아,일상
아기 유산할까봐 조마조마해,초조함
나는 지갑이랑 영양제 같은거 사들렸어,일상
취미생활을 아무것도 안 하고 태교바느질 하는데 진짜 질리는 것 같아,무기력
혼자 있으면 특히 서러워지는 것 같아,슬픔
그 테슬라 시가총액이 1조 달러를 돌파했대.,일상
내 청춘이 사라지는 기분도 들었어.,감정조절이상
응 키키 가서 낚시나 수영을 즐길 수 있다고 하더라,일상
피곤이 쌓였는지 너무 많이 자,피로
혼자 있을때도 누가 자꾸 지켜보는 느낌이 들어,자존감저하
카카오 웹툰 업데이트 하고 엄청 바뀌었어,일상
감정기복이 너무 심해서 병원을 가기로 했어.,초조함
성난 황소는 봤고 키키 부라더도 마동석 주연인데 진짜 웃기더라 키키,일상
잠 안 깨 죽겠네,불면
난 너 따로 학원 같은 거 다니는 줄 알았네,일상
저도 덩달아서 우울해지는 것 같았어요.,우울감
어 맞아요 강아지 보호자 중에도 있어서 같이 하자던데,일상
나도 못봤어 키키,일상
원래 이렇게 많이 졸리고 피곤한 건가?,피로
나만 아무데도 안가봤군...,일상
근데 비평준화다 보니까 다 공부 잘 하는 애들만 모인 거라 너무 힘들었어.,무기력
인스타 쇼핑?,일상
중간에서 중재를 못하는 남편 때문에도 짜증이 났어요.,초조함
개가 옆에 없으면 자꾸 가슴이 울렁거리고 불안해요,불안
응 여기어때는 시간이 정해져있는거니까 그걸사는게 맞는듯,일상
허탈한 기분이다,상실감
운동하면서 슬슬 조금만 줄여봐,일상
저는 편의점 갔는데 카드결제가 안된다고해서 당황스러웠어요,일상
근래에 너무 신경을 많이 써서 피부도 까칠해진 것 같고 예민해졌어요.,초조함
평생 이렇게 뚱돼지로 살아버릴 것 같아,식욕증가
응 그런 제도도 있더라.,일상
아니 가요제는 못 가봤어,일상
마자 키키 추억이넹,일상
자꾸 먹고 토하게 돼,식욕증가
차 때문에 죽었어,일상
살림을 잘 하는 것도 아닌데 맨날 하고 있으려니 슬럼프가 와,피로
"아무리 한심해도 어쩔 수 없어요, 이게 저인 걸요.",죄책감
키키 하긴 군인이 주변에 있을 나이는 지났지...,일상
담배가 피우고 싶은데 못 피우니까 안절부절해,초조함
치료해도 잠시뿐이고다시 우울감이 심해졌어요.,우울감
가족들한테 안 좋은 일이 생길까봐 무섭다,불안
차가 엄청 큰 거에요...,일상
"그냥 계속 확인하게 되고, 다른일에는 집중을 못하게 돼.",집중력저하
체중이 늘어나니까 한 발자국도 안 움직이게 돼,식욕증가
아니야 나는 다음 역에서 바로 내렸었어,일상
몸이 힘들 정도로 긴장이 돼요,불안
"허르 자살이었구나 몰랐네, 왜 그랬지",일상
응... 나의 질풍노도의 시기 15살을 형은 견뎌내지 못했어...,일상
안절부절못해서 티비도 가만히 못 보겠어,초조함
올해는 한번 찾아보고 입어야겠다 키키 집에 있는 건 엄청 두툼해서 키키,일상
저는 급체를 했다고 생각했어요.,식욕저하
살이 엄청 쪘어요,식욕증가
이러다 맥이 끊어지는거 아닌가 불안하더라구.,초조함
예전부터 죽고 싶다는 생각을 많이 했어.,자살충동
계속 성적이 떨어지고 점점 자신감도 떨어졌어요.,자신감저하
하루 하루 사는게 막막하니까 아기한테 신경도 못 쓰게 된 것 같아,절망감
그 부분 나올 때까지 기다렸어.,일상
그거 엄청 재밌다고 꼭 보라고 하긴 하던데 키키,일상
내가 이걸 먹지도 못 할 만큼 심하면 어떡하지? 그러다 죽으면 어떡하지?,초조함
완전 춤추면서 키키 외워서 해야 함 키키 발이 안 보이게 키키,일상
아니. 열 명정도는 치료중인데 이 사람들도 실명 혹은 사망의 위험이 있다는 군 그래,일상
그거야 딱,일상
지금 가슴선 넘고 허리까지올걸?,일상
날 위한 시간이 없는 것 같아서 눈물이 나는 것 같아,슬픔
키키 비상 탈출구 필요해,일상
왜 이렇게 자꾸 몽롱한지 모르겠다,불면
오 오늘 등데이야?,일상
나만 이런 것 같고,죄책감
난민들은 언제 돌아가려나...,일상
혼자 여행 가는 거 어떻게 생각해?,일상
응 새 요가복 있는 거 팔았어,일상
뭘 해도 다 기운빠지고 입맛도 없어,식욕저하
빈 속이라 속도 안 좋고.,식욕저하
말 실수 할까봐 걱정돼서 무슨 말을 못 하겠는 거야.,초조함
완벽해야한다는 압박감에 힘들어.,무기력
그럼 원비가 조금 비싸지는거 아니야?,일상
맞아 좀 헷갈려,일상
예전에도 우울한적은 몇번 있었는데 요즘들어 다시 우울해졌어요.,우울감
나 아기 진짜 좋아해서 완전 예뻐해 줬을 거 같아,일상
내 건강 검진 같이 가줄래?,일상
잠을 설쳐도 특별히 치료를 받은 적은 없어.,불면
"성인이 되고, 사회생활을 하면서 더 힘들어요.",무기력
나 때는 그런 일 많이 없었어 키키,일상
작은 실수를 해도 나를 욕하게 돼,죄책감
시아버지만 생각하면 잠을 설치게 돼,불면
오... 하면 뭐 사?,일상
나 서점에서 토익책 샀어 하하,일상
속이 얹힌 기분이야,식욕저하
여행사 통해서 가면 괌도 비싸지 않나?,일상
계속 이런 걱정을 하다 보니까 그냥 막연히 모든 게 다 불안하고.,초조함
잃은 게 많아서 그런가 자꾸 원망을 하게 돼,분노
높은 곳에 올라가면 떨어지고 싶어.,자살충동
맞아요 우리나라는 범죄자에게 너무 관대해요,일상
담번에 알아볼 때 부동산으로 알아봐야겠다,일상
아기가 너무 안 생기니까 그냥 단념해버렸어,절망감
중국 정부에서 나서지 않으면 그렇게 될거야,일상
확실하고 명백한 범죄자에 대해선 가차없는 철퇴가 필요해,일상
아...그래도 그때 뉴스에서 본 것보단 가격이 내리긴 내렸네 키키,일상
오... 중국집인가요?,일상
응응 키키 거기서 음식사서 몰래 먹었지!,일상
온라인이 다 좋은건 아니네요,일상
모든 일에 무감각해져서 즐거운 일도 없고,감정조절이상
걱정이 많아서 뜬눈으로 밤을 새,초조함
사는 게 비참해졌어요,절망감
나는 운동 좋아해서 키키 농구 가끔 해 키키,일상
왠지 모르겠는데 가뿐한 느낌이 아니네,불면
속눈썹만 올려도 인상이 달라지긴 하더라고요,일상
셋이서 같이 가자 그럼 사이좋게,일상
너무 절망적이라 체념할 수박에 없어서 더 슬퍼요,슬픔
이유도 없이 잠이 안 와,불면
이번에도 그렇게 하루 이틀 지나면 기분이 나아질 거라고 생각했는데,우울감
6언더그라운드 이 영화 재밌더라 키키,일상
아냐 안바빠도 그냥 안받더라고,일상
25주차인테 임신하고 나서 분노조절을 못하겠어요,분노
그런데 조금씩 불안한 거 말고는 다 멀쩡해서 저한테 무슨 문제가 있을 거라고 생각을 안 했어요.,불안
다음부터는 더 일찍 나와야겠어...,일상
마음은 초조한데 의욕이 바닥을 쳐서 출근조차 버거워,초조함
가까워서 좋네 그래도 하하,일상
옛날 생각이 너무 많이 나,슬픔
스트레스 때문인지 코골이를 하게 됐어,불면
근데 입냄새마저도 귀엽지,일상
애 가지고 난 후에 과체중이 됐거든,식욕증가
옆에 누가 누워 있으면 더 뒤척거리게 돼,불면
불안하긴 했지,불안
아빠가 한건지 엄마가 한건지 크크크 식탁위에 있길래 챙겨나옴,일상
오 군인은 거주지 계속 이동하잖아,일상
신랑때문에 예민해져버렸어,식욕저하
사는 게 너무 힘들어.,무기력
회사에 제대로 따지지도 못한 내가 너무 싫어,죄책감
새벽부터 잠도 못 자고 계속 기다렸지.,불면
취향이 왔다갔다 하지만 겨울이가 최고야,일상
함께 힘든 걸 나누는 느낌이 아니라서 자꾸 미워지는 것 같아,분노
내가 애를 잘 못 키워서 이러는 거 아닐까 싶어서 자괴감 들고,죄책감
옆에서 누가 자고 있으면 자다 깨는 것 같아,불면
이성의 어떤 부분을 봐?,일상
그래서 자존감도 엄청 떨어지고 너무 힘들었어요.,자존감저하
중국에 조기 유학가는거 어떻게 생각해?,일상
키키 ?,일상
배는 불러오는데 남편은 돈도 안 벌어오니까 인생을 포기하고 싶었어,절망감
그래서 애들한테도 예민해지고,초조함
에너지가 없어서 죽겠어,피로
술 마시고 나면 또 밥은 먹기가 싫고.,식욕저하
마음에 평화가 찾아오면 좋겠다.,불안
키키 나는 두 명 낳고 싶은데,일상
키키 내 동기도 되게 몸 좋고 운동도 진짜 잘했어,일상
잠을 설쳐서 계속 멍하니 있게 돼,불면
