utterance,intent
행사 챙기다가 1년 다 간다니까 키키,일상
인터넷 요즘 너무 잘 돼 있어서 칭찬해,일상
돈 안 버니까 눈치 보이고 엄청 서러운 것 같아요,슬픔
헐 무슨 그런 일이,일상
그리고 불쌍하기도 했어요.,슬픔
그거 나도 이번 겨울에 하나 장만하려구,일상
몸이 심하게 처져서 평소에 잘 하던 것들도 못 하겠어,피로
몸도 안 좋고 직장도 못 구하니까 불안장애가 더 심해졌던 것 같아요.,불안
뭐? 키키 아니 걔 완전 사고뭉치에다가 활발해서 어찌할찌 몰랐잖아 키키,일상
백반이면 반찬이 중요하긴 하죵,일상
엄청 반대 한데 14억 준다네?,일상
목 매달아서 죽어버리고 싶어요,자살충동
우리 윗집 사는 사람들은 심하다 심해 하하,일상
키키 우리 대화 수준 이게 리얼이야?,일상
직장 다니고 또 집안일까지 하니까 너무 지쳐,외로움
쓸모 없는 인간처럼 느껴져서 마음이 괴로워,자존감저하
아 진짜? 빨리 가입해야겠다,일상
근데 이 시간에 먹으면 살찐다,일상
신랑이 늦게 들어오면 이성이 없어져요,분노
나는 왜 니가 이낙연을 좋아하는지 모르겠어.,일상
그건 다행이네요. 하지만 금방 알려지겠죠.,일상
그래서 환경이 이상해지는 게 백혈구인 거야 면역력,일상
그냥 날씨만 생각했다면 안좋아 했을텐데 눈 온 후를 떠올리니 좋더라고요,일상
맞아 나는 첨에 나오는 노래가 너무 좋아,일상
"이거 관두면 나는 뭐 해 먹고 살지, 본가로 돌아가야 하나 이 걱정이 들어요.",초조함
위험 하진 않나,일상
꼬리에 꼬리를 물고 분노가 밀려오는 것 같아,분노
감정이 계속 오락가락 해,슬픔
몸무게 너무 늘었어,식욕증가
욱하면 무조건 욕이 나와,초조함
헐 혼나는데 좋았어?,일상
추위는 그걸 바라보는 사람들의 몫인가?,일상
말이 너무 느려져서 일상에 지장을 받을 정도야,초조함
나중에 사진 보여줄게,일상
아기 갖고 인생이 끝난것 같아서 좌절감이 느껴지고 자존감도 떨어졌어.,자존감저하
근데 계속 우울해,우울감
실수할 때 마다 자꾸 자책하게되고 괴로워요...,죄책감
한 2주 전부터는 한 번 잠들려면 엄청 오래 걸리고 또 잘 못 자.,불면
튼튼하지 못 한 것도 다 임신해서 그런 것 같아,불면
요즘 사는 게 싫어요.,자살충동
효과음도 오오오 이래서 누가 따라오는거 같음 키키,일상
왜 나는 이것밖에 안 될까 하는 생각이 들어,죄책감
그래 나만 따라와,일상
어 경비원도 없지?,일상
요즘은 진짜 안 싸워... 키키,일상
애들이 놀아달라하면 버럭하고 알아서 놀라고 하고,감정조절이상
나만 이 분위기에 적응을 못 하나?,초조함
그렇게 맛있나? 생각하다가도 별로 먹고 싶지 않아요.,식욕저하
야 무조건 사 후회하지 않을 거야!,일상
남편이 바람 피우는걸 알고 나서 나 자산이 하찮게 느껴졌어.,자존감저하
아 그렇구나 나만 귀여운 거구나,일상
키키 거거익선 첨 듣는데,일상
나도 비만인데 갑작스레 죽으면 어쩌나 싶어요.,초조함
너무 무기력해져서 걱정이 많아,무기력
이게 우울한 건가?,우울감
무기력과 우울 속에 빠져드는 것 같아,무기력
벌써? 얼마나 추워지는데?,일상
키키 언니가 맛있는 거 다 털어가게?,일상
긴장을 자주 하니까 몸에도 영향이 있는 거 같아,불안
아침에 특히 우울하고 무기력해,우울감
혼자가 된 것만 같아,외로움
머야 중독자였자너? 왜 싫어하는 척 하녀,일상
아침에는 항상 식욕도 떨어지고 다 귀찮아,식욕저하
왠지 모르게 아직도 꿈 꾸는 기분이야,불면
전혀 쓰질 못햇단말야,일상
나를 사랑하는 사람은 정말로 얼마 없으니까 그런 것 같아요.,자존감저하
우울해서 담배 찾아,우울감
근데 언제까지고 이럴 수는 없으니까 너무 걱정돼요.,초조함
면접도 많이 중요한거 같아,일상
약간 걔 말투가 상상되는데?,일상
테라스 같은 거 말하는거야?,일상
어느 채널이죠?,일상
오히려 아이가 울 때마다 짜증을 내고.,초조함
출산이 무섭고 겁나는 건 나 하나 뿐이야,외로움
한번 보고싶어.,일상
슬픔이 주체가 안 돼요.,슬픔
그렇지? 거의 장작이 온 천지에 널려있는 꼴,일상
물론 진지해야 되는 건 맞지만 너무 무겁다고 해야 하나?,일상
병원 간호사들도 나를 무시하는 느낌이야.,자존감저하
아무리 발버둥 쳐도 안 되니까 그냥 체념하게 돼,절망감
정말 전이되면 어떡하지?,초조함
왜 요즘 무력감이 드는 걸까,상실감
우리딸이 이상해...,일상
그건 삿포로에서 봤어요,일상
너무 했는데,일상
갑자기 불안했어. 비행기 타고 가다가 사고 나는 거 아닌가 싶기도 하고,초조함
두턱 됐어,식욕증가
아.. 이 상태로 군대갔다가는 사고를 칠지도 모르겠어요.,초조함
하루 종일 누워서 졸리면 자고 그래,피로
아침에 환기해봐 공기 상쾌해,일상
자더라도 깊게 못자고 얕게 잔다고 해야하나..?,불면
일할 때 가장 중요하게 생각하는 게 뭐야?,일상
약먹으니까 너무 멍해지더라고.,우울감
열나고 아파,일상
누나 결혼하면 금방이지 뭐,일상
고작 자는 시간이 2시간 정도?,불면
왜 자꾸 내가 배신했다는 생각이 드는지 나도 이해할 수가 없어,죄책감
어차피 혼자인 거 인생 너무 덧없어,외로움
돈도 없는데 애를 괜히 가졌나 싶어서 죄책감 느껴,죄책감
아기가 안 생기니까 너무 절망적이더라고,절망감
그래서 휴학하고 그 후로 집 밖에 거의 안 나왔어.,무기력
피곤하니까 오히려 더 잠만 설쳐,불면
"감정기복도 너무 심해서, 일하기도 어려워.",초조함
입맛이 안 생기니까 더 힘든 것 같아요,식욕저하
나는 넷플릭스에서 좀비영화 봤어,일상
나도 연기자 한번 해볼 껄,일상
남편 보면 참아야지하다가도자꾸 말도 안되는걸로 사람을 괴롭히니까자꾸 미운 마음이 들어.,분노
불안해서 가만히 못 있겠어,초조함
키키 난 그냥 안하고 싶은데... 한 번도 하기 싫어 싫어 싫어 싫어!,일상
응 호랑이 나와 키키 멋있게 생긴 호랑이,일상
나는 내 발 사이즈도 안 나올 거 같아,일상
아기 갖고 내 꿈도 희망도 다 사라진 느낌이야,절망감
이번에 49년 형 받은 거 보니깐 통쾌하더라,일상
왜 매일 이렇게 후회막심일까,슬픔
시몽키 말구... 진짜 이쁜 새우,일상
나처럼 결단력 없는 사람 없을 거야,자신감저하
짠하게 말고 기특하게 보세요 하하 형아를 좋아하니,일상
배가 부른 후부턴 섞여서 지내는 게 힘든 것 같아,외로움
정부 차원에서 진행해야 될 사업 일 것 같아요,일상
맞아 나도 아들이 있으니 같은 마음이야,일상
너무 고달파서 이렇게 개 고생할 거 왜 사나 싶어,외로움
몇분뒤면 더 싸게 살 수 있을까 이러고,일상
수업은 안해도 되고 집에서 그냥 학습지하면 된대,일상
목 매달고 죽고 싶단 생각도 자주 했어요.,자살충동
공허하구나,상실감
키키 언니는 야구 선수 누구 좋아해?,일상
임신을 한 게 너무 억울해,죄책감
소중한 사람이 떠나가니까 세상 이렇게 허망할 수 있을까 싶어,슬픔
새벽에 깨어나면 잠이 안와요.,불면
모든 게 우울하고 짜증이 나면서 진짜 많이 우는 것 같아,슬픔
DP보니까 군대 내 가혹행위가 참 큰일이 아닐수가 없더라,일상
뛰어내리고 싶네,자살충동
잠을 계속 못 자서 밤이 너무 무서워,불면
나도 해병대가 멋져보여서 해병대 갈 거야.,일상
그게 너무 싫고 힘들었어요.,무기력
밥맛이 없어서 한달째 제대로 못 먹고 있어요.,식욕저하
응 너무 귀여운 캐릭커 같았어,일상
내가 어떻게 뺀 살인데 또 찌면 너무 억울하잖아요.,슬픔
지하철에서도 적자라고 하니...,일상
그 애가 대표로 감방 갔으면 좋겠다,일상
편의점 없는 집 있냐고...,일상
너무 답답해.,초조함
남편도 자꾸 나한테 상처만 주니까 내가 왜 사나 싶고 그렇더라,자존감저하
5시에. 지금 MBC 유튜브에서 로켓 설명하고 있어. 키키,일상
없으니까 아쉽다,일상
아나도 사람 대접 받으면서 살고 싶어.,자존감저하
구매할때 잘 생각해야돼,일상
그래서 조그만 소리에도 잘 깨요.,불면
시댁때문에 살고 싶지 않아요,자살충동
감정의 변화를 세포들이 힘이 더 커지는 걸로 표현했어 키키,일상
당신은 정말 천상 군인이야,일상
끝나니까 좀 괜찮아지긴 했는데 앞으로도 계속 그럴까봐 걱정돼요.,초조함
애들은 조금만 흔들려도 계속 와,일상
아직도 밖에 마당에서 지내?,일상
그래! 오랜만에 아이스스케이팅 타면 엄청 넘어지겠다 키키,일상
인생 접어버렸으면 좋겠다,자살충동
혹이 난 건 아닐까 싶기도 하고,초조함
애 키울 생각하니까 계속 살찐다,식욕증가
저도 김연아 선수 좋아해요.,일상
잠이 안 오니까 밤새서 게임만 하게 돼,불면
잠들기 전에 진짜 슬픈 것 같아,슬픔
3주 전부터 입맛이 없었어요.,식욕저하
그냥 아무 일 없어도 속상해요,슬픔
가슴이 쿵쾅쿵쾅 거릴 정도로 걱정이 되는 거야.,초조함
티비에 안 보인 지 오래라 키키,일상
요새는 잠자기가 계속 어려워.,불면
수업 들으러 가기도 싫고 그냥 계속 무기력해요.,무기력
키키 1년에 한 번씩 챙기면서 대신에 좋은 선물 주는 게 자주 챙기는 것보다 훨씬 나은 거 같애 키키,일상
라고 들어봤어?,일상
잠들지를 못 하니까 공상만 엄청 해,불면
오! 나도 그거 짤로 봤었어!,일상
네 아침 요가를 하며 마음을 다스렸으니 아침동안 화내지 않고 등원시키기가 목표예요,일상
나도 모르게 입에서 욕이 튀어나와.,감정조절이상
나 요즘 무력감이 심한 거 같아,상실감
성형 아니여? 교정도?,일상
요즘 힙하게 입는 애들이 많더라고 키키,일상
나는 뭘 기대하는 건가 싶고 허무하고 그렇네,슬픔
힘이 빠져서 죽을 맛이야,피로
모든 일에 무감각해져서 즐거운 일도 없고,감정조절이상
다시 이등병으로 돌아가서 시작...,일상
청소년 아이들이 좀 더 심각할 것 같아 한참 예민할 나이라,일상
강박처럼 일해야 만족하는 내 자신이 너무 싫어.,죄책감
나는 주말 알바만 하는 중이야!,일상
글쎄요... 나이 든 입장에서는 걱정이 되는데요,일상
부모님이 어릴때부터 차별이 심해서 피해의식 같은게 있어,자존감저하
신경질이 너무 늘어서 아무것도 하기 싫어,초조함
요새 내가 너무 불쌍한 것 같아,슬픔
아 키키 그래서 유니폼도 샀다 해구나,일상
그렇구나. 하나 사,일상
쉴 때 몸무게가 더 줄어드는 것 같아요,식욕저하
학점은 총으로 쏠수도 없고 잡기 어렵드라,일상
과거의 내가 너무 원망스러워서 돌아버릴 거 같아,죄책감
몸이 쑤셔서 돌아버릴 것 같아,외로움
매일매일 너무 찌뿌둥해서 죽겠어,피로
"근데 내가 생각했던 것보다 너무 힘들고, 어렵더라.",무기력
아... 조권... 키키 갑자기 생각이 안났음... 지금 뭐하고 있으려나,일상
근데 우울증이 그렇게 심한 건 아닌 것 같아서 치료는 안 받았어요.,우울감
맞아 키키 어떻게 될진 모르겠지만 일단은 질러야지 키키,일상
아무리 자도 너무 피곤해서 미쳐버릴 것 같아,불면
불안해서 잠을 못 자겠어,불안
힘 빠져서 간단한 일도 못 하겠어,피로
요즘 하루하루 너무 후회가 돼.,슬픔
곤충 울동네 많으니 언제든,일상
미친 듯이 먹게 돼,식욕증가
너무 허망해서 사는 의욕이 없어요,슬픔
누구나 다 이렇게 사는 거겠지 하면서도 외롭다,외로움
마음이 산산조각 되는 것 같아,슬픔
키키 경제는 키키 뭐 관련해서 듣는 거?,일상
너 토스뱅크 가입했냐?,일상
한개 남았어. 아까 한개 먹고 한개는 나중에 먹는다고 남겨놨지,일상
추워지기 전에 산책 좀 다녀야겠다,일상
성관계를 너무 자주 했더니 식욕이 줄더라.,식욕저하
기분이 좋았다가 나빴다가 기복이 엄청 심해졌거든.,초조함
온몸에 똥 독이 올라서 엄청 징그러웠어요,일상
뉴스에서 YouTube 관련 되서도 방송 많이 하더라,일상
한 번 그러고 나니까 정말 너무 걱정 돼.,초조함
너무 답답해서 매일 몇 시간씩 산책을 하고 있어,초조함
이런 거는 서로 달라야지 잘 맞는 거 알지?,일상
교육학과도,일상
시댁만 생각하면 우울하고 아무것도 하고 싶지 않아,우울감
손해는 무슨 연애 해야지,일상
인기 많을 것 같아 키키 체력도 대박이구 키키,일상
해장 음식 뭘 젤 좋아해?,일상
바다 보면서 넓게 트여있는 카페가 좋긴 했어.,일상
색즉시공도,일상
깨고 자고의 반복이야,불면
아마 수능 때문이었던 것 같아요. 하루종일 불안해서 아무 것도 못 했거든요.,초조함
사는 게 너무너무 무의미한 것 같고 외로워요,외로움
나는 그거 안 봐,일상
서해가 엄청 더러웠는데 신기하네,일상
시어머니랑 싸우고 나서 너무 피곤하고 몸이 무거워,피로
아 키키 물놀이 때문에... 키키,일상
내가 우리 집의 수치가 된 거 같아,죄책감
근데 4년이면 사도 되겠다 키키,일상
이렇게 살기 좋은 나라가 있을까,일상
잠을 자다 말아,불면
세상에 꺾여버린 기분이야,절망감
광교에서 강남까지면 3천 원 넘지 않니,일상
다리 아파서 업어달라고 하더라구,일상
맛있는거 너무 많아,일상
난 그냥 화려한 싱글로 살아야겠어. 소개팅도 이제 지겹다.,일상
맞아요 키키 백신 맞고 술도 못 먹고 아빠 취미 생활 다 사라졌어요,일상
계속 얼 빠져있으니까 일할 때도 엄청 실수 해,우울감
두꺼우면 판타지도 있을 것 같네요?,일상
아 가끔 예상 시간보다 늦게 올 때가 있어.,일상
치킨이요.,일상
야 반전이야?,일상
약속 시간에 늦어서 사소한 거짓말을 할 때도 엄청 긴장되고,초조함
머릿속이 혼란스러워서 평소에 잘 하던 일도 못 해,초조함
얀센 왜 맞추냐...,일상
잠 빼고는 별다른 문제는 없어요.,불면
너무 고통스럽고 인생이 무겁게 느껴져요,절망감
당연하지 애 둘 다 데리고 와라,일상
옆집 사람이 나한테 해코지할것 같아서 걱정이야,자존감저하
집중이 안 되니까 우울해지는 걸까,우울감
해수어는 소금도 타줘야한데,일상
내가 얼만큼 힘들지 관심을 주지 않아,외로움
그건 소스가있지 키키,일상
주변에서 자꾸 부정적인 이야기만 하니까 더 마음이 아픈것 같아요,절망감
꽃꽂이 학원 어때,일상
나도 마음이 좀 아프다,일상
너무 먹고 싶어 키키,일상
내가 너무 허무해,상실감
"매일이 그렇게 살얼음판 걷는 듯이 경쟁이 세니까, 그 부분에서 스트레스를 상당히 많이 받았어.",무기력
네 푸들 보다 덜 곱슬거리고 부드러운 느낌이래요,일상
입맛만 돋우어놓고 가버리네.,일상
깊은 잠 잔 것도 오래 됐다,불면
남편이 자꾸 나를 쏘아보고 뭐라고 하니까 잘 하던것도 안되는 느낌이야,자존감저하
자는데 갑자기 답답해서 깬적이 있어.,초조함
안 그래도 자존감이 낮은데 사람들이 자꾸 흘겨보니까 더 움츠러들게 돼,자존감저하
나 지금도 보조배터리 샤오미 꺼 쓰고 있는데,일상
나도 컨실러랑 눈썹 그리는 정도만 하는데 인상 단정해보이면 되는거 같아,일상
1박 2일 혹시 봐? 키키,일상
온 세상 사람들이 나를 감시하는것만 같아,자존감저하
물어봤는데 딱히 없대...,일상
그치 나도 프로그램 극한직업에 나왔다고 써있더라,일상
쿠키런 킹덤 해본 적 있어?,일상
일이 쉬우니까 더 의욕이 안 생기고 우울해지는 것 같아,우울감
키키 많은 곳을 돌아다니려고 하지마렴.,일상
키키 제모하나요 근데 또 비싼건 잘 안팔리던데,일상
초기인데 벌써 낮 밤이 바뀌어서 개 힘들어,우울감
살도 많이 쪘어.,식욕증가
아 군악대 진짜 멋있다 키키,일상
난 1학년때 선생님이 반 애들 열심히 챙기셔서 기억에 남아,일상
나는 2년 꽉 채웠지,일상
"요즘 하루하루가 너무 힘들어서 공부도 안 된다, 정말",집중력저하
진짜 이제 나이가 많이 드셨어,일상
생각보다 10만원에 그정도 스펙이면 가성비가 좋아서 많이 산 거 같아,일상
너무 아파서 임신도 포기하고 싶어져,절망감
난 주택에 살고 싶어,일상
보통 34시간만 자.,불면
바빠서 그런지 식욕도 없고 무기력하네,식욕저하
머리가 아플 정도로 오래 누워 있어,피로
아 진짜 싫어...,일상
대구는 사실 갈 곳이 별로 없었어,일상
그래! 우리 같이 열심히 배워보자 키키,일상
대놓고 괴롭히진 않았는데 같은 반 애들이 저한테 말도 별로 안 걸고 학교 나가면 되게 외로웠어요.,외로움
게임에 진심이면서 머리까지 좋으니까 대박이야,일상
멍해진 이유는 딱히 없어,우울감
생각보다 변색이 빨리 안 되더라고 변색이 심하면 자주 바꿔줘야지,일상
딸이라 섭섭하다는 엄마 때문에 진짜 서운했어,슬픔
신경질 나는 걸 주체할 수 없을 때는 막 발을 구르기도 해,초조함
왜요? 형 치아 안 좋아요?,일상
뭘 해도 안절부절못하고 진정이 안 돼,초조함
불안해서 티비도 못 보겠어요,불안
맨날 미루다가 드디어 간다,일상
삶이 비참해졌어,절망감
근데 사실 뭔 일을 해도 누구는 싫고 누구는 좋아서 모든 사람의 사랑을 받긴 어려운 직업인 거 같아,일상
"맞아요 언니 너무 뭔가를 배척하는 사람들은, 사기꾼 키키",일상
부모님이 우리 집에 놀러오셔,일상
내 몸이 마음대로 안 되는 기분이라 답답해,초조함
12월은 한달쉴까 영어는 보낼까고민중,일상
하하 그런거 여행에서 되게 좋을 것 같아,일상
다른 언어와 환경 속에서 내가 친구를 만들 수 있을지 너무 걱정이었지.,초조함
털에 집착하는 제 자신이 저도 싫어요.,죄책감
집에만 있으니까 더 눕고만 싶어,피로
어플에서 구매한 제품은 5천포인트 그냥 일반 제품은 3천 포인트 받을 수 있어,일상
이 불안감을 대체 어떻게 해야 할 지 모르겠어요,불안
이제 업무 시작합니까?,일상
키키 그러게 한 번 할 때 얼마나 해?,일상
응 코로나라 워낙 집에만 있었거든,일상
아무 이유 없이 몸이 처져,피로
흘러가는 계곡이나 그 앞에 전집들,일상
나를 케어해주는 사람이 없어서 고독해,외로움
진짜 대박 신기하다 키키,일상
임신하고 난 후부터 조각잠밖에 못 자요,불면
검단산도 좋고 일자산도 생각나네 키키,일상
사는 건 외롭기만 해,외로움
아니 한 34번? 간 거 같음 키키,일상
한 번 깨고 나면 잠이 다시 안 와요.,불면
어떨 땐 너무 재수없어서 한대 치고 싶다니까.,분노
그래 그런기사는 계속나오더라고,일상
심각한 거니?,초조함
너무 멀리 시집오지 말걸 그랬어,죄책감
나는 초딩 때 그냥 놀았던 거 같아 태권도 다녔나 키키,일상
응응 키키 언제든 불러,일상
와! 근데 진짜 짧은시간내 빼기는 했다...,일상
나 이제 더 이상 버틸 수가 없다.,무기력
아뇨 지금은 언니 안해요,일상
왜 그렇게 얄미운 짓만 하는지 모르겠어,분노
병원에 있으니까 오히려 더 먹어,식욕증가
살도 많이 빠지더라고.,식욕저하
그래도 가 그렇게 말했다는 게 믿기지가 않는다.,일상
나도 많이 쓰면 5만원 나오던데,일상
주변 사람들 시선이 너무 냉소적이라 무서워요,자존감저하
맥주도 못 마시니까 인생 노답이야,우울감
필라테스가 장비랄게 있나 양말이랑 복장이지뭐,일상
헐? 그럼 지리산에 헬리콥터 있던데 가능함?,일상
스키? 보드?,일상
노력한다고 다 되는 게 아니더라고요.,감정조절이상
설사하니깐...,일상
왜냐하면 내가 이렇게 우울한 이유가 엄마 때문이거든.,우울감
불안감의 이유가 뭐야?,불안
의사 선생님도 그냥 푹 쉬어야 낫는다고 하시더라고. 요즘 너무 무리했나봐,일상
근래에 너무 신경을 많이 써서 피부도 까칠해진 것 같고 예민해졌어요.,초조함
정지윤 선수 완전 어린 선수잖아.,일상
다음 주에 알아보고 넣으려궁,일상
아니 나는 중고는 안 사는 편,일상
옆에 누가 자고 있으면 얼만큼을 자도 피로가 안 풀리더라구요,불면
그리고 내가 진짜 될까 자신감도 없고,자신감저하
애가 조금만 늦게 들어와도 가슴이 울렁대요,불안
일반이랑 같이 있더라고요,일상
내가 만약에 친구 차 빌려 타다가 사고 냈으면 자차에 자짜도 못 꺼낼 것 같은데...,일상
기분이 좀 쎄했어. 무슨 말을 하려고 저러나,우울감
결국 누가 따간 거야!,일상
뱅비보다 싸려나?,일상
오랜 해외 생활에 향수병 때문이라도 한식을 먹다가고 화가 난적도 있었어.,일상
누워 있으니까 걱정이 더 많아지는 거 같아,피로
먹을 건 먹어야지,일상
음...뉴스에 보니까 한국행 왕복 항공권이 주어졌대!,일상
부모님이 이혼한 후의 삶은 절망적이었어.,절망감
나 애들이랑 거제도로 가기로 했단말야,일상
낼은 일찍 봐야겟다,일상
걷기도 힘들 정도로 몸무게가 줄었어요,식욕저하
그 남자 이름이 이상하던데요?,일상
어떻게 하면 이 미련 속에서 벗어날 수 있을까,슬픔
베베 과자 하나 먹던데?,일상
다 결혼하고 나면 진짜 혼자면 너무 슬플 것 같아,일상
요즘 큰아들이 오목 배워서 맨날 오목 두자고 해 키키,일상
늘 조심해야 해,일상
욱하면 눈물이 나서 미칠 거 같아요.,슬픔
그 즈음에 잠도 잘 못 자고 그랬어요. 거의 한 2주 동안은?,불면
하아 키키 슬프네 키키,일상
이럴 거면 미용을 배울걸 그랬나 싶기도 하고.,죄책감
처음 사슴 벌레 인줄 키키,일상
미혼모라는 이유로 부모님한테도 손가락질을 받아,자존감저하
아무 의욕도 없는데 안절부절못해서 잠이 안 와,초조함
돈 많이 모으면 외제차 살꺼야 키키,일상
나도 아직 못받았어 피나는게 무서워,일상
내가 아무것도 없는 미혼모라서 다들 그렇게 얕보나봐,자존감저하
하루에 4시간 자면 많이 잔거였고보통 2시간정도 잔 것 같아.,불면
내가 좀만 잘했으면 남편이 이렇게 상심할 일은 없었을 텐데,죄책감
파이어족이 뭔가요 처음 들어 봅니다.,일상
아무튼 이런 일이 몇 번 있다 보니까 내 자신이 너무 불안해.,불안
그래 그러면 휴가 가능한 일정 확인하고 말해줄게,일상
한 세 달 동안은 침대에서 나오지도 않았던 것 같아.,무기력
키키 앞머리가 문제네,일상
한국어 공연이면 한국 배우는 누가 나오는 거야?,일상
밀웜? 같은 벌레 먹더라구 하하,일상
공기청정기 돌려도 냄새나,일상
응 그냥 귀여워 이,일상
"그 종이를 보니까, 사탄이 나를 홀릴 수도 있겠다는 걱정이 드는 거야.",초조함
침대에 계속 누워 있다가 동 트는 거 보면 진짜 너무 괴로워.,불면
아 시댁은 괜히 가자고 해서,죄책감
아이돌은 당췌 머라카는지 가사가 안들리는거 나만 그런가?,일상
그럴까 그럼?,일상
과다수면증이 왜 생겼는지 나도 모르지,불면
나만큼 쓸모 없는 패배자도 없지 싶어.,자존감저하
온 몸에 힘이 없고 무기력하고 불면증도 있어,우울감
여름에 잠이 특히 안 오는 것 같아,불면
아 진짜 나도 같이 하자 나도 해볼래,일상
나도야. 나는 뱀을 무서워해서 보자마자 너무 놀랐어.,일상
나는 내가 살아야 할 가치를 못 느끼겠어.,자살충동
난 정말 쓸모 없는 인간이야.,자존감저하
하하 오 애교 부리는거 좋지 하하,일상
그니까 그건 좀 아냐,일상
잔소리가 기대된다 하하,일상
주차 공간 찾기가 특히 주택에선 힘든 것 같애요,일상
불안병 고치고 싶은데 고칠 수 없을까,불안
"너무 우울한데, 병원에 가기가 싫어.",우울감
에너지가 0이야,피로
키키 의도 너무 투명해 그걸 걸어 놓고,일상
요즘 들어 내가 그런 거 아닌 건가 싶어서 걱정 된다니까.,초조함
정상화가 될려면 시간이 얼마나 지나야 할까,일상
난 인간쓰레기야,자존감저하
서러운 감정 때문에 힘들어,슬픔
애 가지고 나서 왜 이렇게 힘이 빠지는지 모르겠네,피로
준비는 많이 했어?,일상
혼자 있을때 누가 째려보는 느낌이 들면 너무 힘들더라고,자존감저하
육아 슬럼프 온다,피로
시어머니랑 대화를 하면 얼음왕국에 있는 기분이야,자존감저하
걱정만 하니까 피곤하기까지 해,초조함
어릴 때부터 부모님이 항상 나를 무시하고 멸시했었어.,자존감저하
선택지가 많으면 더 결정하기 힘들어,자신감저하
나 조차도 나 자신을 무시하게 돼.,자존감저하
몸 아픈것도 서러운데 정신병까지 생긴것 같아서 너무 힘들어.,무기력
오늘 아침에도 커피 사러 카페 갔다가 알바생이 너무 굼뜨게 굴어서 싸움 날 뻔했어.,감정조절이상
맞아 그렇게 알고 있는데,일상
키키 대박 자격증 많다니 부럽다...,일상
내 인생이 어디서부터 잘못된건지 모르겠어.,절망감
잘은 모르겠는데 패혈증 같대,일상
분통이 터져,분노
아 피부과에서 점을 빼는 거야?,일상
혼자 겉도니까 너무 힘들어,외로움
그럼 모두 가는 거에요? 학력 사유 상관 없이?,일상
정말 피로하다. 키키,일상
즐거운 일이 하나도 없으니까 우울해져,우울감
그런가? 그래도 비 오니까 시원하다.,일상
"나말고는 전부 유능하고, 부자야.",자존감저하
그 때 아버지 마음이 이랬겠구나 싶어서 후회도 하고 그랬거든요.,죄책감
쉬는 날인데 뭐해?,일상
그 때부터 뭔가 좀 불안해지기 시작해서 남친 친구들한테 연락했어.,불안
결혼도 했었나?,일상
"영어학원에서 강사를 했는데, 계속 마음은 우울했어.",우울감
감정이 너무 격해지는 것 같아,슬픔
미혼모라고 사람들이 손가락질하는것 같아,자존감저하
어릴 땐 다이어트 때문이었으면 지금은 진심 살려고 운동하는 듯 하하,일상
인턴쉽은 어떻게든 꾸역꾸역 마쳤는데 그 뒤로 계속 기분이 우울해.,우울감
다음에 차사게되면 어떤거 살꺼야?,일상
저는 뭐 하나 혼자 해결 하지도 못하나봐요.,자신감저하
병원에만 가면 불안해요,불안
정촌에 맛있는 밥집 세 개만 대보셈...,일상
나는 아기랑 열 시?,일상
직장문제로 감정을 추스르기 힘들어요.,슬픔
불안해서 죽고 싶어요,불안
오 그러자! 재밌겠네,일상
저도 보통 그렇게 판매 하는데 잘 안팔려요.,일상
맞아 이제는 그냥 배우로 알지 다들,일상
아기 취향 맞추려면 절대 보면 안돼,일상
응 내가 해주려다가 망했어,일상
일주일 전부터 입맛이 없어졌어.,식욕저하
보께,일상
다들 수고가 많네,일상
향수병이 너무 심한 것 같아,슬픔
누나랑 거래를 했어야 했네요,일상
오히려 성장에 문제 될까봐 키키,일상
요즘 통 잠도 못 자고 밥도 못 먹고 우울감이 심해졌어.,우울감
어 너무 혼자있어야돼,외로움
다시 죽고싶다는 생각밖에 없어요.,자살충동
오늘은 갔다 와서 일찍 쉬어.,일상
오늘은 미세먼지가 없는 것 같아요.,일상
불안해서 어떻게 되어버릴 거 같아요.,불안
식욕이 줄어서 몸무게가 5킬로 감소했어.,식욕저하
웅 너 때문에도 받고 그냥 이것 저것 신경쓸 게 많네 취준도 하고 연애도 하고 이도 날 괴롭히니 몸이 한개라도 모자라,일상
난 모바일로도 크아 나왔다고 해서 들어가서 해봤는데 컴퓨터로 하는게 더 재밌더라,일상
거기다 새는 잠깐 밖에 풀어주는 시간도 필요해.,일상
신경이 쓰여서 평소에 잠도 잘 못 자.,불면
나는 아침에 일찍 일어나는 게 너무 싫어,일상
모든 게 꿈처럼... 신기루처럼 사라진 거지.,절망감
키키 맞아 육군이 진짜 많은 듯,일상
갈수록 외톨이가 되는 것 같아서 동네 친구를 구하고 있어,외로움
어떻게 나한테 그렇게 말할 수 있는 건지 도무지 이해가 안 가,분노
저번에 하리보 산거 얼마라했지?,일상
거기도 심했나,일상
그럼 계획 지금부터 세워야겠는걸?,일상
인터넷 검색하면 나오는 평범한 레시피였는데 맛좋다고 하니 으쓱되고 있음.,일상
모르겠어요 애들이 지금도 뭘 좋아하는지도 모르겠구요,일상
와... 진짜 아깝다 너는 ?,일상
이별한 지 얼마 안됐구나,일상
패배의식과 우울감 때문에 괴로워,우울감
그냥 말다툼 정도지 손은 안 씀 키키,일상
오티스 의 비밀 상담소 봤어?,일상
조카가 입원했다는 소식을 들었는데 내가 다 불안한 거야.,초조함
